"","MET_NI_1_NEG","METC_NI_1_NEG","BUP_NI_1_NEG","BUPC_NI_1_NEG","ABS_NI_1_NEG","REL_NI_1_NEG","ODN_NI_1_NEG","ODF_NI_1_NEG","MET_INJ_1_NEG","METC_INJ_1_NEG","BUP_INJ_1_NEG","BUPC_INJ_1_NEG","ABS_INJ_1_NEG","REL_INJ_1_NEG","ODN_INJ_1_NEG","ODF_INJ_1_NEG","MET_NI_2_NEG","METC_NI_2_NEG","BUP_NI_2_NEG","BUPC_NI_2_NEG","ABS_NI_2_NEG","REL_NI_2_NEG","ODN_NI_2_NEG","ODF_NI_2_NEG","MET_INJ_2_NEG","METC_INJ_2_NEG","BUP_INJ_2_NEG","BUPC_INJ_2_NEG","ABS_INJ_2_NEG","REL_INJ_2_NEG","ODN_INJ_2_NEG","ODF_INJ_2_NEG","MET_NI_3_NEG","METC_NI_3_NEG","BUP_NI_3_NEG","BUPC_NI_3_NEG","ABS_NI_3_NEG","REL_NI_3_NEG","ODN_NI_3_NEG","ODF_NI_3_NEG","MET_INJ_3_NEG","METC_INJ_3_NEG","BUP_INJ_3_NEG","BUPC_INJ_3_NEG","ABS_INJ_3_NEG","REL_INJ_3_NEG","ODN_INJ_3_NEG","ODF_INJ_3_NEG","MET_NI_1_HIV","METC_NI_1_HIV","BUP_NI_1_HIV","BUPC_NI_1_HIV","ABS_NI_1_HIV","REL_NI_1_HIV","ODN_NI_1_HIV","ODF_NI_1_HIV","MET_INJ_1_HIV","METC_INJ_1_HIV","BUP_INJ_1_HIV","BUPC_INJ_1_HIV","ABS_INJ_1_HIV","REL_INJ_1_HIV","ODN_INJ_1_HIV","ODF_INJ_1_HIV","MET_NI_2_HIV","METC_NI_2_HIV","BUP_NI_2_HIV","BUPC_NI_2_HIV","ABS_NI_2_HIV","REL_NI_2_HIV","ODN_NI_2_HIV","ODF_NI_2_HIV","MET_INJ_2_HIV","METC_INJ_2_HIV","BUP_INJ_2_HIV","BUPC_INJ_2_HIV","ABS_INJ_2_HIV","REL_INJ_2_HIV","ODN_INJ_2_HIV","ODF_INJ_2_HIV","MET_NI_3_HIV","METC_NI_3_HIV","BUP_NI_3_HIV","BUPC_NI_3_HIV","ABS_NI_3_HIV","REL_NI_3_HIV","ODN_NI_3_HIV","ODF_NI_3_HIV","MET_INJ_3_HIV","METC_INJ_3_HIV","BUP_INJ_3_HIV","BUPC_INJ_3_HIV","ABS_INJ_3_HIV","REL_INJ_3_HIV","ODN_INJ_3_HIV","ODF_INJ_3_HIV","MET_NI_1_HCV","METC_NI_1_HCV","BUP_NI_1_HCV","BUPC_NI_1_HCV","ABS_NI_1_HCV","REL_NI_1_HCV","ODN_NI_1_HCV","ODF_NI_1_HCV","MET_INJ_1_HCV","METC_INJ_1_HCV","BUP_INJ_1_HCV","BUPC_INJ_1_HCV","ABS_INJ_1_HCV","REL_INJ_1_HCV","ODN_INJ_1_HCV","ODF_INJ_1_HCV","MET_NI_2_HCV","METC_NI_2_HCV","BUP_NI_2_HCV","BUPC_NI_2_HCV","ABS_NI_2_HCV","REL_NI_2_HCV","ODN_NI_2_HCV","ODF_NI_2_HCV","MET_INJ_2_HCV","METC_INJ_2_HCV","BUP_INJ_2_HCV","BUPC_INJ_2_HCV","ABS_INJ_2_HCV","REL_INJ_2_HCV","ODN_INJ_2_HCV","ODF_INJ_2_HCV","MET_NI_3_HCV","METC_NI_3_HCV","BUP_NI_3_HCV","BUPC_NI_3_HCV","ABS_NI_3_HCV","REL_NI_3_HCV","ODN_NI_3_HCV","ODF_NI_3_HCV","MET_INJ_3_HCV","METC_INJ_3_HCV","BUP_INJ_3_HCV","BUPC_INJ_3_HCV","ABS_INJ_3_HCV","REL_INJ_3_HCV","ODN_INJ_3_HCV","ODF_INJ_3_HCV","MET_NI_1_COI","METC_NI_1_COI","BUP_NI_1_COI","BUPC_NI_1_COI","ABS_NI_1_COI","REL_NI_1_COI","ODN_NI_1_COI","ODF_NI_1_COI","MET_INJ_1_COI","METC_INJ_1_COI","BUP_INJ_1_COI","BUPC_INJ_1_COI","ABS_INJ_1_COI","REL_INJ_1_COI","ODN_INJ_1_COI","ODF_INJ_1_COI","MET_NI_2_COI","METC_NI_2_COI","BUP_NI_2_COI","BUPC_NI_2_COI","ABS_NI_2_COI","REL_NI_2_COI","ODN_NI_2_COI","ODF_NI_2_COI","MET_INJ_2_COI","METC_INJ_2_COI","BUP_INJ_2_COI","BUPC_INJ_2_COI","ABS_INJ_2_COI","REL_INJ_2_COI","ODN_INJ_2_COI","ODF_INJ_2_COI","MET_NI_3_COI","METC_NI_3_COI","BUP_NI_3_COI","BUPC_NI_3_COI","ABS_NI_3_COI","REL_NI_3_COI","ODN_NI_3_COI","ODF_NI_3_COI","MET_INJ_3_COI","METC_INJ_3_COI","BUP_INJ_3_COI","BUPC_INJ_3_COI","ABS_INJ_3_COI","REL_INJ_3_COI","ODN_INJ_3_COI","ODF_INJ_3_COI"
"ABS_NI_1_HCV",0.185834948236332,0.185834948236332,0.185834948236332,0.185834948236332,0,0.185834948236332,0.0635797215918577,0.00724553722648417,0,0,0,0,0,0,0,0,0.185834948236332,0.185834948236332,0.185834948236332,0.185834948236332,0,0.185834948236332,0.0635797215918577,0.00724553722648417,0,0,0,0,0,0,0,0,0.185834948236332,0.185834948236332,0.185834948236332,0.185834948236332,0,0.185834948236332,0.0635797215918577,0.00724553722648417,0,0,0,0,0,0,0,0,0.185834948236332,0.185834948236332,0.185834948236332,0.185834948236332,0,0.185834948236332,0.0635797215918577,0.00724553722648417,0,0,0,0,0,0,0,0,0.185834948236332,0.185834948236332,0.185834948236332,0.185834948236332,0,0.185834948236332,0.0635797215918577,0.00724553722648417,0,0,0,0,0,0,0,0,0.185834948236332,0.185834948236332,0.185834948236332,0.185834948236332,0,0.185834948236332,0.0635797215918577,0.00724553722648417,0,0,0,0,0,0,0,0,0.185834948236332,0.185834948236332,0.185834948236332,0.185834948236332,0,0.185834948236332,0.0635797215918577,0.00724553722648417,0,0,0,0,0,0,0,0,0.185834948236332,0.185834948236332,0.185834948236332,0.185834948236332,0,0.185834948236332,0.0635797215918577,0.00724553722648417,0,0,0,0,0,0,0,0,0.185834948236332,0.185834948236332,0.185834948236332,0.185834948236332,0,0.185834948236332,0.0635797215918577,0.00724553722648417,0,0,0,0,0,0,0,0,0.185834948236332,0.185834948236332,0.185834948236332,0.185834948236332,0,0.185834948236332,0.0635797215918577,0.00724553722648417,0,0,0,0,0,0,0,0,0.185834948236332,0.185834948236332,0.185834948236332,0.185834948236332,0,0.185834948236332,0.0635797215918577,0.00724553722648417,0,0,0,0,0,0,0,0,0.185834948236332,0.185834948236332,0.185834948236332,0.185834948236332,0,0.185834948236332,0.0635797215918577,0.00724553722648417,0,0,0,0,0,0,0,0
"REL_NI_1_HCV",0.173965105246878,0.173965105246878,0.173965105246878,0.173965105246878,0.173965105246878,0,0.116857416950811,0.0133170568147992,0,0,0,0,0,0,0,0,0.173965105246878,0.173965105246878,0.173965105246878,0.173965105246878,0.173965105246878,0,0.116857416950811,0.0133170568147992,0,0,0,0,0,0,0,0,0.173965105246878,0.173965105246878,0.173965105246878,0.173965105246878,0.173965105246878,0,0.116857416950811,0.0133170568147992,0,0,0,0,0,0,0,0,0.173965105246878,0.173965105246878,0.173965105246878,0.173965105246878,0.173965105246878,0,0.116857416950811,0.0133170568147992,0,0,0,0,0,0,0,0,0.173965105246878,0.173965105246878,0.173965105246878,0.173965105246878,0.173965105246878,0,0.116857416950811,0.0133170568147992,0,0,0,0,0,0,0,0,0.173965105246878,0.173965105246878,0.173965105246878,0.173965105246878,0.173965105246878,0,0.116857416950811,0.0133170568147992,0,0,0,0,0,0,0,0,0.173965105246878,0.173965105246878,0.173965105246878,0.173965105246878,0.173965105246878,0,0.116857416950811,0.0133170568147992,0,0,0,0,0,0,0,0,0.173965105246878,0.173965105246878,0.173965105246878,0.173965105246878,0.173965105246878,0,0.116857416950811,0.0133170568147992,0,0,0,0,0,0,0,0,0.173965105246878,0.173965105246878,0.173965105246878,0.173965105246878,0.173965105246878,0,0.116857416950811,0.0133170568147992,0,0,0,0,0,0,0,0,0.173965105246878,0.173965105246878,0.173965105246878,0.173965105246878,0.173965105246878,0,0.116857416950811,0.0133170568147992,0,0,0,0,0,0,0,0,0.173965105246878,0.173965105246878,0.173965105246878,0.173965105246878,0.173965105246878,0,0.116857416950811,0.0133170568147992,0,0,0,0,0,0,0,0,0.173965105246878,0.173965105246878,0.173965105246878,0.173965105246878,0.173965105246878,0,0.116857416950811,0.0133170568147992,0,0,0,0,0,0,0,0
"ODN_NI_1_HCV",0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0
"ODF_NI_1_HCV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MET_INJ_1_HCV",0,0,0,0,0,0,0,0,0,0.178057664519435,0.0890288322597175,0.0890288322597175,0.178057664519435,0.178057664519435,0.258330078101333,0.0294392638209268,0,0,0,0,0,0,0,0,0,0.178057664519435,0.0890288322597175,0.0890288322597175,0.178057664519435,0.178057664519435,0.258330078101333,0.0294392638209268,0,0,0,0,0,0,0,0,0,0.178057664519435,0.0890288322597175,0.0890288322597175,0.178057664519435,0.178057664519435,0.258330078101333,0.0294392638209268,0,0,0,0,0,0,0,0,0,0.178057664519435,0.0890288322597175,0.0890288322597175,0.178057664519435,0.178057664519435,0.258330078101333,0.0294392638209268,0,0,0,0,0,0,0,0,0,0.178057664519435,0.0890288322597175,0.0890288322597175,0.178057664519435,0.178057664519435,0.258330078101333,0.0294392638209268,0,0,0,0,0,0,0,0,0,0.178057664519435,0.0890288322597175,0.0890288322597175,0.178057664519435,0.178057664519435,0.258330078101333,0.0294392638209268,0,0,0,0,0,0,0,0,0,0.178057664519435,0.0890288322597175,0.0890288322597175,0.178057664519435,0.178057664519435,0.258330078101333,0.0294392638209268,0,0,0,0,0,0,0,0,0,0.178057664519435,0.0890288322597175,0.0890288322597175,0.178057664519435,0.178057664519435,0.258330078101333,0.0294392638209268,0,0,0,0,0,0,0,0,0,0.178057664519435,0.0890288322597175,0.0890288322597175,0.178057664519435,0.178057664519435,0.258330078101333,0.0294392638209268,0,0,0,0,0,0,0,0,0,0.178057664519435,0.0890288322597175,0.0890288322597175,0.178057664519435,0.178057664519435,0.258330078101333,0.0294392638209268,0,0,0,0,0,0,0,0,0,0.178057664519435,0.0890288322597175,0.0890288322597175,0.178057664519435,0.178057664519435,0.258330078101333,0.0294392638209268,0,0,0,0,0,0,0,0,0,0.178057664519435,0.0890288322597175,0.0890288322597175,0.178057664519435,0.178057664519435,0.258330078101333,0.0294392638209268
"METC_INJ_1_HCV",0,0,0,0,0,0,0,0,0.143472990872346,0,0.0717364954361729,0.0717364954361729,0.143472990872346,0.143472990872346,0.38251650303016,0.0435915334804566,0,0,0,0,0,0,0,0,0.143472990872346,0,0.0717364954361729,0.0717364954361729,0.143472990872346,0.143472990872346,0.38251650303016,0.0435915334804566,0,0,0,0,0,0,0,0,0.143472990872346,0,0.0717364954361729,0.0717364954361729,0.143472990872346,0.143472990872346,0.38251650303016,0.0435915334804566,0,0,0,0,0,0,0,0,0.143472990872346,0,0.0717364954361729,0.0717364954361729,0.143472990872346,0.143472990872346,0.38251650303016,0.0435915334804566,0,0,0,0,0,0,0,0,0.143472990872346,0,0.0717364954361729,0.0717364954361729,0.143472990872346,0.143472990872346,0.38251650303016,0.0435915334804566,0,0,0,0,0,0,0,0,0.143472990872346,0,0.0717364954361729,0.0717364954361729,0.143472990872346,0.143472990872346,0.38251650303016,0.0435915334804566,0,0,0,0,0,0,0,0,0.143472990872346,0,0.0717364954361729,0.0717364954361729,0.143472990872346,0.143472990872346,0.38251650303016,0.0435915334804566,0,0,0,0,0,0,0,0,0.143472990872346,0,0.0717364954361729,0.0717364954361729,0.143472990872346,0.143472990872346,0.38251650303016,0.0435915334804566,0,0,0,0,0,0,0,0,0.143472990872346,0,0.0717364954361729,0.0717364954361729,0.143472990872346,0.143472990872346,0.38251650303016,0.0435915334804566,0,0,0,0,0,0,0,0,0.143472990872346,0,0.0717364954361729,0.0717364954361729,0.143472990872346,0.143472990872346,0.38251650303016,0.0435915334804566,0,0,0,0,0,0,0,0,0.143472990872346,0,0.0717364954361729,0.0717364954361729,0.143472990872346,0.143472990872346,0.38251650303016,0.0435915334804566,0,0,0,0,0,0,0,0,0.143472990872346,0,0.0717364954361729,0.0717364954361729,0.143472990872346,0.143472990872346,0.38251650303016,0.0435915334804566
"BUP_INJ_1_HCV",0,0,0,0,0,0,0,0,0.0890355910200654,0.0890355910200654,0,0.178071182040131,0.178071182040131,0.178071182040131,0.258281539474477,0.0294337323650001,0,0,0,0,0,0,0,0,0.0890355910200654,0.0890355910200654,0,0.178071182040131,0.178071182040131,0.178071182040131,0.258281539474477,0.0294337323650001,0,0,0,0,0,0,0,0,0.0890355910200654,0.0890355910200654,0,0.178071182040131,0.178071182040131,0.178071182040131,0.258281539474477,0.0294337323650001,0,0,0,0,0,0,0,0,0.0890355910200654,0.0890355910200654,0,0.178071182040131,0.178071182040131,0.178071182040131,0.258281539474477,0.0294337323650001,0,0,0,0,0,0,0,0,0.0890355910200654,0.0890355910200654,0,0.178071182040131,0.178071182040131,0.178071182040131,0.258281539474477,0.0294337323650001,0,0,0,0,0,0,0,0,0.0890355910200654,0.0890355910200654,0,0.178071182040131,0.178071182040131,0.178071182040131,0.258281539474477,0.0294337323650001,0,0,0,0,0,0,0,0,0.0890355910200654,0.0890355910200654,0,0.178071182040131,0.178071182040131,0.178071182040131,0.258281539474477,0.0294337323650001,0,0,0,0,0,0,0,0,0.0890355910200654,0.0890355910200654,0,0.178071182040131,0.178071182040131,0.178071182040131,0.258281539474477,0.0294337323650001,0,0,0,0,0,0,0,0,0.0890355910200654,0.0890355910200654,0,0.178071182040131,0.178071182040131,0.178071182040131,0.258281539474477,0.0294337323650001,0,0,0,0,0,0,0,0,0.0890355910200654,0.0890355910200654,0,0.178071182040131,0.178071182040131,0.178071182040131,0.258281539474477,0.0294337323650001,0,0,0,0,0,0,0,0,0.0890355910200654,0.0890355910200654,0,0.178071182040131,0.178071182040131,0.178071182040131,0.258281539474477,0.0294337323650001,0,0,0,0,0,0,0,0,0.0890355910200654,0.0890355910200654,0,0.178071182040131,0.178071182040131,0.178071182040131,0.258281539474477,0.0294337323650001
"BUPC_INJ_1_HCV",0,0,0,0,0,0,0,0,0.0735347245476586,0.0735347245476586,0.147069449095317,0,0.147069449095317,0.147069449095317,0.369602363846017,0.0421198397727148,0,0,0,0,0,0,0,0,0.0735347245476586,0.0735347245476586,0.147069449095317,0,0.147069449095317,0.147069449095317,0.369602363846017,0.0421198397727148,0,0,0,0,0,0,0,0,0.0735347245476586,0.0735347245476586,0.147069449095317,0,0.147069449095317,0.147069449095317,0.369602363846017,0.0421198397727148,0,0,0,0,0,0,0,0,0.0735347245476586,0.0735347245476586,0.147069449095317,0,0.147069449095317,0.147069449095317,0.369602363846017,0.0421198397727148,0,0,0,0,0,0,0,0,0.0735347245476586,0.0735347245476586,0.147069449095317,0,0.147069449095317,0.147069449095317,0.369602363846017,0.0421198397727148,0,0,0,0,0,0,0,0,0.0735347245476586,0.0735347245476586,0.147069449095317,0,0.147069449095317,0.147069449095317,0.369602363846017,0.0421198397727148,0,0,0,0,0,0,0,0,0.0735347245476586,0.0735347245476586,0.147069449095317,0,0.147069449095317,0.147069449095317,0.369602363846017,0.0421198397727148,0,0,0,0,0,0,0,0,0.0735347245476586,0.0735347245476586,0.147069449095317,0,0.147069449095317,0.147069449095317,0.369602363846017,0.0421198397727148,0,0,0,0,0,0,0,0,0.0735347245476586,0.0735347245476586,0.147069449095317,0,0.147069449095317,0.147069449095317,0.369602363846017,0.0421198397727148,0,0,0,0,0,0,0,0,0.0735347245476586,0.0735347245476586,0.147069449095317,0,0.147069449095317,0.147069449095317,0.369602363846017,0.0421198397727148,0,0,0,0,0,0,0,0,0.0735347245476586,0.0735347245476586,0.147069449095317,0,0.147069449095317,0.147069449095317,0.369602363846017,0.0421198397727148,0,0,0,0,0,0,0,0,0.0735347245476586,0.0735347245476586,0.147069449095317,0,0.147069449095317,0.147069449095317,0.369602363846017,0.0421198397727148
"ABS_INJ_1_HCV",0,0,0,0,0,0,0,0,0.143514041623118,0.143514041623118,0.143514041623118,0.143514041623118,0,0.143514041623118,0.253536772570279,0.0288930193141308,0,0,0,0,0,0,0,0,0.143514041623118,0.143514041623118,0.143514041623118,0.143514041623118,0,0.143514041623118,0.253536772570279,0.0288930193141308,0,0,0,0,0,0,0,0,0.143514041623118,0.143514041623118,0.143514041623118,0.143514041623118,0,0.143514041623118,0.253536772570279,0.0288930193141308,0,0,0,0,0,0,0,0,0.143514041623118,0.143514041623118,0.143514041623118,0.143514041623118,0,0.143514041623118,0.253536772570279,0.0288930193141308,0,0,0,0,0,0,0,0,0.143514041623118,0.143514041623118,0.143514041623118,0.143514041623118,0,0.143514041623118,0.253536772570279,0.0288930193141308,0,0,0,0,0,0,0,0,0.143514041623118,0.143514041623118,0.143514041623118,0.143514041623118,0,0.143514041623118,0.253536772570279,0.0288930193141308,0,0,0,0,0,0,0,0,0.143514041623118,0.143514041623118,0.143514041623118,0.143514041623118,0,0.143514041623118,0.253536772570279,0.0288930193141308,0,0,0,0,0,0,0,0,0.143514041623118,0.143514041623118,0.143514041623118,0.143514041623118,0,0.143514041623118,0.253536772570279,0.0288930193141308,0,0,0,0,0,0,0,0,0.143514041623118,0.143514041623118,0.143514041623118,0.143514041623118,0,0.143514041623118,0.253536772570279,0.0288930193141308,0,0,0,0,0,0,0,0,0.143514041623118,0.143514041623118,0.143514041623118,0.143514041623118,0,0.143514041623118,0.253536772570279,0.0288930193141308,0,0,0,0,0,0,0,0,0.143514041623118,0.143514041623118,0.143514041623118,0.143514041623118,0,0.143514041623118,0.253536772570279,0.0288930193141308,0,0,0,0,0,0,0,0,0.143514041623118,0.143514041623118,0.143514041623118,0.143514041623118,0,0.143514041623118,0.253536772570279,0.0288930193141308
"REL_INJ_1_HCV",0,0,0,0,0,0,0,0,0.11421589936044,0.11421589936044,0.11421589936044,0.11421589936044,0.11421589936044,0,0.385041249878119,0.0438792533196808,0,0,0,0,0,0,0,0,0.11421589936044,0.11421589936044,0.11421589936044,0.11421589936044,0.11421589936044,0,0.385041249878119,0.0438792533196808,0,0,0,0,0,0,0,0,0.11421589936044,0.11421589936044,0.11421589936044,0.11421589936044,0.11421589936044,0,0.385041249878119,0.0438792533196808,0,0,0,0,0,0,0,0,0.11421589936044,0.11421589936044,0.11421589936044,0.11421589936044,0.11421589936044,0,0.385041249878119,0.0438792533196808,0,0,0,0,0,0,0,0,0.11421589936044,0.11421589936044,0.11421589936044,0.11421589936044,0.11421589936044,0,0.385041249878119,0.0438792533196808,0,0,0,0,0,0,0,0,0.11421589936044,0.11421589936044,0.11421589936044,0.11421589936044,0.11421589936044,0,0.385041249878119,0.0438792533196808,0,0,0,0,0,0,0,0,0.11421589936044,0.11421589936044,0.11421589936044,0.11421589936044,0.11421589936044,0,0.385041249878119,0.0438792533196808,0,0,0,0,0,0,0,0,0.11421589936044,0.11421589936044,0.11421589936044,0.11421589936044,0.11421589936044,0,0.385041249878119,0.0438792533196808,0,0,0,0,0,0,0,0,0.11421589936044,0.11421589936044,0.11421589936044,0.11421589936044,0.11421589936044,0,0.385041249878119,0.0438792533196808,0,0,0,0,0,0,0,0,0.11421589936044,0.11421589936044,0.11421589936044,0.11421589936044,0.11421589936044,0,0.385041249878119,0.0438792533196808,0,0,0,0,0,0,0,0,0.11421589936044,0.11421589936044,0.11421589936044,0.11421589936044,0.11421589936044,0,0.385041249878119,0.0438792533196808,0,0,0,0,0,0,0,0,0.11421589936044,0.11421589936044,0.11421589936044,0.11421589936044,0.11421589936044,0,0.385041249878119,0.0438792533196808
"ODN_INJ_1_HCV",0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.5,0,0
"ODF_INJ_1_HCV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MET_NI_2_HCV",0,0.231847963546917,0.115923981773458,0.115923981773458,0.231847963546917,0.231847963546917,0.0651802163955334,0.00742792941680026,0,0,0,0,0,0,0,0,0,0.231847963546917,0.115923981773458,0.115923981773458,0.231847963546917,0.231847963546917,0.0651802163955334,0.00742792941680026,0,0,0,0,0,0,0,0,0,0.231847963546917,0.115923981773458,0.115923981773458,0.231847963546917,0.231847963546917,0.0651802163955334,0.00742792941680026,0,0,0,0,0,0,0,0,0,0.231847963546917,0.115923981773458,0.115923981773458,0.231847963546917,0.231847963546917,0.0651802163955334,0.00742792941680026,0,0,0,0,0,0,0,0,0,0.231847963546917,0.115923981773458,0.115923981773458,0.231847963546917,0.231847963546917,0.0651802163955334,0.00742792941680026,0,0,0,0,0,0,0,0,0,0.231847963546917,0.115923981773458,0.115923981773458,0.231847963546917,0.231847963546917,0.0651802163955334,0.00742792941680026,0,0,0,0,0,0,0,0,0,0.231847963546917,0.115923981773458,0.115923981773458,0.231847963546917,0.231847963546917,0.0651802163955334,0.00742792941680026,0,0,0,0,0,0,0,0,0,0.231847963546917,0.115923981773458,0.115923981773458,0.231847963546917,0.231847963546917,0.0651802163955334,0.00742792941680026,0,0,0,0,0,0,0,0,0,0.231847963546917,0.115923981773458,0.115923981773458,0.231847963546917,0.231847963546917,0.0651802163955334,0.00742792941680026,0,0,0,0,0,0,0,0,0,0.231847963546917,0.115923981773458,0.115923981773458,0.231847963546917,0.231847963546917,0.0651802163955334,0.00742792941680026,0,0,0,0,0,0,0,0,0,0.231847963546917,0.115923981773458,0.115923981773458,0.231847963546917,0.231847963546917,0.0651802163955334,0.00742792941680026,0,0,0,0,0,0,0,0,0,0.231847963546917,0.115923981773458,0.115923981773458,0.231847963546917,0.231847963546917,0.0651802163955334,0.00742792941680026,0,0,0,0,0,0,0,0
"METC_NI_2_HCV",0.217809189673255,0,0.108904594836628,0.108904594836628,0.217809189673255,0.217809189673255,0.115590555829253,0.0131726854777248,0,0,0,0,0,0,0,0,0.217809189673255,0,0.108904594836628,0.108904594836628,0.217809189673255,0.217809189673255,0.115590555829253,0.0131726854777248,0,0,0,0,0,0,0,0,0.217809189673255,0,0.108904594836628,0.108904594836628,0.217809189673255,0.217809189673255,0.115590555829253,0.0131726854777248,0,0,0,0,0,0,0,0,0.217809189673255,0,0.108904594836628,0.108904594836628,0.217809189673255,0.217809189673255,0.115590555829253,0.0131726854777248,0,0,0,0,0,0,0,0,0.217809189673255,0,0.108904594836628,0.108904594836628,0.217809189673255,0.217809189673255,0.115590555829253,0.0131726854777248,0,0,0,0,0,0,0,0,0.217809189673255,0,0.108904594836628,0.108904594836628,0.217809189673255,0.217809189673255,0.115590555829253,0.0131726854777248,0,0,0,0,0,0,0,0,0.217809189673255,0,0.108904594836628,0.108904594836628,0.217809189673255,0.217809189673255,0.115590555829253,0.0131726854777248,0,0,0,0,0,0,0,0,0.217809189673255,0,0.108904594836628,0.108904594836628,0.217809189673255,0.217809189673255,0.115590555829253,0.0131726854777248,0,0,0,0,0,0,0,0,0.217809189673255,0,0.108904594836628,0.108904594836628,0.217809189673255,0.217809189673255,0.115590555829253,0.0131726854777248,0,0,0,0,0,0,0,0,0.217809189673255,0,0.108904594836628,0.108904594836628,0.217809189673255,0.217809189673255,0.115590555829253,0.0131726854777248,0,0,0,0,0,0,0,0,0.217809189673255,0,0.108904594836628,0.108904594836628,0.217809189673255,0.217809189673255,0.115590555829253,0.0131726854777248,0,0,0,0,0,0,0,0,0.217809189673255,0,0.108904594836628,0.108904594836628,0.217809189673255,0.217809189673255,0.115590555829253,0.0131726854777248,0,0,0,0,0,0,0,0
